stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding,postal_code
12351,12351.0,Ashland & Marquette Rd,"Ashland & Marquette Rd, Northbound, Northeast Corner",41.7723995,-87.66389004,0,,1,60636
12352,12352.0,Vincennes & 104th Street,"Vincennes & 104th Street, Southbound, Northwest Corner",41.70504411,-87.65678798,0,,1,60643
12353,12353.0,Vincennes & 105th Street,"Vincennes & 105th Street, Southbound, Northwest Corner",41.70318722,-87.65745312,0,,1,60643
12354,12354.0,10602 S Vincennes,"10602 S Vincennes, Southbound, Westside of the Street",41.70093785,-87.65827857,0,,1,60643
12356,12356.0,Vincennes & 108th Place,"Vincennes & 108th Place, Southbound, Northwest Corner",41.69679373,-87.66016695,0,,1,60643
12357,12357.0,Vincennes & 109th Street,"Vincennes & 109th Street, Southbound, Northwest Corner",41.69588635,-87.66077867,0,,1,60643
12358,12358.0,Vincennes & Ashland,"Vincennes & Ashland, Southbound, Northwest Corner",41.69455623,-87.66171705,0,,1,60643
12359,12359.0,Vincennes & Chelsea Place,"Vincennes & Chelsea Place, Southbound, Northwest Corner",41.69297479,-87.66282011,0,,1,60643
12360,12360.0,Monterey & Hermosa,"Monterey & Hermosa, Westbound, Northside of the Street",41.69082915,-87.66671706,0,,1,60643
12361,12361.0,Monterey & Esmond,"Monterey & Esmond, Westbound, Northeast Corner",41.69135563,-87.66837851,0,,1,60643
12362,12362.0,Monterey & Hale,"Monterey & Hale, Westbound, Northeast Corner",41.69199534,-87.67043939,0,,1,60643
12363,12363.0,111th Street & Longwood,"111th Street & Longwood, Westbound, Northeast Corner",41.69199931,-87.67171576,0,,1,60643
12364,12364.0,111th Street & Hoyne,"111th Street & Hoyne, Westbound, Northeast Corner",41.69196953,-87.67376038,0,,1,60643
12366,12366.0,111th Street & Bell,"111th Street & Bell, Westbound, Northeast Corner",41.69191127,-87.67731872,0,,1,60643
12367,12367.0,111th Street & Western,"111th Street & Western, Westbound, Northeast Corner",41.69185335,-87.68092469,0,,1,60643
12368,12368.0,111th Street & Campbell,"111th Street & Campbell, Westbound, Northeast Corner",41.69183634,-87.68348518,0,,1,60655
12369,12369.0,111th Street & Rockwell,"111th Street & Rockwell, Westbound, Northeast Corner",41.69180426,-87.68581211,0,,1,60655
12370,12370.0,111th Street & Washtenaw,"111th Street & Washtenaw, Westbound, Northeast Corner",41.69177629,-87.68844667,0,,1,60655
12372,12372.0,111th Street & California,"111th Street & California, Westbound, Northeast Corner",41.69177463,-87.69082091,0,,1,60655
12373,12373.0,Mt. Greenwood Cemetery,"Mt. Greenwood Cemetery, Westbound, Northeast Corner",41.69173170000001,-87.69288262,0,,1,60655
12374,12374.0,111th Street & Sacramento,"111th Street & Sacramento, Westbound, Northside of the Street",41.691697,-87.696001,0,,1,60655
12375,12375.0,111th Street & Albany,"111th Street & Albany, Westbound, Northeast Corner",41.69167407,-87.69820282,0,,1,60655
12376,12376.0,111th Street & Kedzie,"111th Street & Kedzie, Westbound, Northeast Corner",41.69163846,-87.70068136,0,,1,60655
12377,12377.0,111th Street & Spaulding,"111th Street & Spaulding, Westbound, Northeast Corner",41.69159059,-87.70325722,0,,1,60655
12378,12378.0,111th Street & Homan,"111th Street & Homan, Westbound, Northeast Corner",41.69156549,-87.70556244,0,,1,60655
12379,12379.0,111th Street & St. Louis,"111th Street & St. Louis, Westbound, Northeast Corner",41.69150933,-87.70805525,0,,1,60655
12380,12380.0,111th Street & Central Park,"111th Street & Central Park, Westbound, Northeast Corner",41.69147911,-87.71039425,0,,1,60655
12382,12382.0,111th Street & Hamlin,"111th Street & Hamlin, Westbound, Northeast Corner",41.69139881,-87.71534445,0,,1,60655
12383,12383.0,111th Street & Springfield,"111th Street & Springfield, Westbound, Northeast Corner",41.69135866,-87.71776021,0,,1,60655
12385,12385.0,111th Street & Springfield,"111th Street & Springfield, Eastbound, Southside of the Street",41.691244,-87.717895,0,,1,60655
12386,12386.0,111th Street & Hamlin,"111th Street & Hamlin, Eastbound, Southside of the Street",41.691277,-87.71546,0,,1,60655
12387,12387.0,111th Street & Lawndale,"111th Street & Lawndale, Eastbound, Southside of the Street",41.6913119,-87.7132621,0,,1,60655
12388,12388.0,111th Street & Central Park,"111th Street & Central Park, Eastbound, Southwest Corner",41.691353,-87.71068100000002,0,,1,60655
12389,12389.0,111th Street & St. Louis,"111th Street & St. Louis, Eastbound, Southwest Corner",41.691391,-87.70826,0,,1,60655
12390,12390.0,111th Street & Homan,"111th Street & Homan, Eastbound, Southwest Corner",41.691431,-87.70582900000002,0,,1,60655
12391,12391.0,111th Street & Spaulding,"111th Street & Spaulding, Eastbound, Southwest Corner",41.691468,-87.703405,0,,1,60655
12392,12392.0,111th Street & Kedzie,"111th Street & Kedzie, Eastbound, Southwest Corner",41.69149952,-87.70096611,0,,1,60655
12393,12393.0,111th Street & Albany,"111th Street & Albany, Eastbound, Southwest Corner",41.691535,-87.698479,0,,1,60655
12394,12394.0,111th Street & Sacramento,"111th Street & Sacramento, Eastbound, Southwest Corner",41.69151353,-87.69613919,0,,1,60655
12395,12395.0,Mt. Olivet Cemetery,"Mt. Olivet Cemetery, Eastbound, Southwest Corner",41.69157436,-87.69309002,0,,1,60655
12396,12396.0,111th Street & California,"111th Street & California, Eastbound, Southside of the Street",41.69161184,-87.69098688,0,,1,60655
12398,12398.0,111th Street & Washtenaw,"111th Street & Washtenaw, Eastbound, Southwest Corner",41.691653,-87.688636,0,,1,60655
12399,12399.0,2600 W 111th Street,"2600 W 111th Street, Eastbound, Southwest Corner",41.69166741,-87.68615351,0,,1,60655
