zip,Total Restaurants,Avg Rating,Total Reviews,Median Reviews,Avg Reviews,Avg Price (# of $),Total CTA Stops,Latitude,Longitude
60651,1,4.0,158,158.0,158.0,1.0,201.0,41.902093,-87.74085699999999
60652,8,3.75,986,28.0,123.25,1.375,122.0,41.747932,-87.714795
60653,6,3.5,535,74.5,89.16666666666667,1.6666666666666667,191.0,41.819962,-87.60598399999999
60654,54,3.888888888888889,62914,753.5,1165.0740740740741,2.425925925925926,98.0,41.892289,-87.637271
60655,8,3.625,373,54.0,46.625,1.75,124.0,41.694776,-87.703777
60656,11,3.4545454545454546,1397,64.0,127.0,1.6363636363636365,57.0,41.97428,-87.82713199999999
60657,83,3.9939759036144578,36493,335.0,439.67469879518075,1.7710843373493976,158.0,41.940293,-87.646857
60659,64,3.765625,12901,177.0,201.578125,1.71875,141.0,41.991488000000004,-87.703986
60660,31,3.935483870967742,9217,200.0,297.3225806451613,1.7419354838709677,104.0,41.99111,-87.663076
60661,28,3.7857142857142856,18761,311.5,670.0357142857143,2.142857142857143,40.0,41.88303,-87.644101
60666,23,2.652173913043478,4987,85.0,216.82608695652175,1.9565217391304348,,,
60686,2,3.5,246,123.0,123.0,1.0,,,
